"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim"
"56567","the charisma of a young woman who knows how to hold the screen ","The charisma of a young woman who know how to hold the screen.","0.255","0.993","0.204","0.014"
"56567","the charisma of a young woman who knows how to hold the screen ","The charisma of a young woman that knows how to hold the screen,","0.069","0.996","0.052","0.014"
"43615","ache with sadness ( the way chekhov is funny ) ","ache with sadness ( the way Chekhov seemed humorous, )","0.162","0.977","0.126","0.003"
"43615","ache with sadness ( the way chekhov is funny ) ","ache with sadness ( the way chekhov is funny, ''","0.067","0.99","0.051","0.003"
"33040","just might go down as one of the all-time great apocalypse movies. ","Simply might go down as one of all-time great apocalypse movies.","0.172","0.896","0.136","0.021"
"33040","just might go down as one of the all-time great apocalypse movies. ","Simply might go down as one of the all-time great apocalypse movies. *","0.011","0.87","0.008","0.021"
"53989","has elements of romance, tragedy and even silent-movie comedy ","has elements of romance, tragedy, albeit silent-movie comedy.","0.823","0.861","0.81","0.458"
"53989","has elements of romance, tragedy and even silent-movie comedy ","has elements of romance, tragedy, even silent-movie comedy.","0.442","0.867","0.38","0.458"
"5557","came handed down from the movie gods on a silver platter ","came handed down from the movie gods by silver platter.","0.051","0.845","0.039","0.001"
"5557","came handed down from the movie gods on a silver platter ","came down from the movie gods on a silver platter.","0.003","0.843","0.002","0.001"
"47925","makes an amazing breakthrough in her first starring role ","makes in the first part appeared as an amazing breakthrough, albeit relatively minimal.","0.387","0.143","0.895","0.028"
"47925","makes an amazing breakthrough in her first starring role ","made an amazing breakthrough, seeing her first starring role, ''","0.045","0.839","0.034","0.028"
"25122","eyre, a native american raised by white parents, manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ","eyre, a native American, raised by white parents, seems to emerge from a relationship to sibling reconciliation.","0.337","0.326","0.341","0.0"
"25122","eyre, a native american raised by white parents, manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ","eyre, a native american being raised by white parents, infuse the rocky path to sibling reconciliation in Images of warmth and gentle humor.","0.003","0.926","0.002","0.0"
"61285","both heartbreaking and heartwarming... just a simple fable done in an artless sytle, but it's tremendously moving ","Both heartbreaking and heartwarming, just a simple fable done in an artless sytle, but it's tremendously moving.","0.965","0.986","0.958","0.803"
"61285","both heartbreaking and heartwarming... just a simple fable done in an artless sytle, but it's tremendously moving ","both heartbreaking and heartwarming, just a simple joke, done in an artless sytle, but very much considerably moving.","0.911","0.752","0.98","0.803"
"3523","capable of anteing up some movie star charisma ","capable of anteing up some movie star charisma, albeit shy.","0.684","0.681","0.685","0.028"
"3523","capable of anteing up some movie star charisma ","capable of anteing up some movie star charisma,","0.101","0.996","0.078","0.028"
"12856","'s equally hard to imagine anybody being able to tear their eyes away from the screen ","Similarly, it's hard to imagine anybody being able to tear their eyes away from the screen.","0.112","0.967","0.086","0.006"
"12856","'s equally hard to imagine anybody being able to tear their eyes away from the screen ","It's equally hard to imagine anybody being able to push their eyes away from the screen.","0.104","0.876","0.08","0.006"
"23674","nothing short of a masterpiece -- and a challenging one. ","nothing short of a masterpiece, albeit a challenging, albeit relatively brief.","0.952","0.84","0.996","0.041"
"23674","nothing short of a masterpiece -- and a challenging one. ","nothing short of a masterpiece, albeit somewhat daunting, albeit a challenging.","0.937","0.815","0.987","0.041"
