idx,original_sentence,model_response,reward,semantic_similarity,target_label_probability_from_victim
9612,runteldat is something of a triumph. ,runteldat is something of a triumph. ,0.76,1.0,0.519
9612,runteldat is something of a triumph. ,runteldat is something of a triumph?,0.742,0.965,0.519
45086,so original in its base concept that you can not help but get caught up. ,So original to its base concept that you can not help but get caught up.,0.558,0.973,0.144
45086,so original in its base concept that you can not help but get caught up. ,"There isowsky's concept so original in its base concept that you can not help but get caught up,",0.399,0.659,0.138
3793,driven by a fantastic dual performance from ian holm ,driven by a fantastic dual performance from ian holm ,0.5,1.0,0.0
3793,driven by a fantastic dual performance from ian holm ,driven by a fantastic double performance from '',0.3,0.591,0.008
42296,a few ear-pleasing songs on its soundtrack ,a few ear-pleasing songs on its soundtrack :,0.604,0.992,0.216
42296,a few ear-pleasing songs on its soundtrack ,a few ear-pleasing songs on its soundtrack ,0.575,1.0,0.151
51147,"narc takes a walking-dead, cop-flick subgenre and beats new life into it. ",Narc takes a walking-dead-cop-flick subgenre and beats new life into it.,0.5,0.996,0.005
51147,"narc takes a walking-dead, cop-flick subgenre and beats new life into it. ","narc takes a walking-dead personal tragedy, cop-filic subgenre, and beats new life into it.",0.469,0.925,0.013
66527,"goes by quickly, because it has some of the funniest jokes of any movie this year, including those intended for adults ","goes by quickly, because it has some of the funniest jokes of any movie of this year, including those intended for adults.",0.532,0.993,0.07
66527,"goes by quickly, because it has some of the funniest jokes of any movie this year, including those intended for adults ","It goes by quickly ; because it has some of the funniest jokes of any movie this year, including those intended for adults.",0.498,0.98,0.016
21793,to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our,To the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to us,0.497,0.993,0.0
21793,to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our,To the fore for the gifted but no-onsense human beings they are and for the still-inestimable contributions they have made to our human.,0.481,0.946,0.015
1253,a bracing truth that's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood ,A bracing truth that ''s drying after the phoniness of female bildature looks like divine secrets of the yiyya sisterhood 2004,0.517,0.72,0.314
1253,a bracing truth that's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood ,A bracing truth's refreshing after the phoniness of female-buddhistic pictures like divine secrets of theya-family ,0.367,0.724,0.01
51848,enjoyable documentary. ,enjoyable documentary.,0.662,1.0,0.324
51848,enjoyable documentary. ,enjoyable documentary `` unroll '',0.632,0.623,0.64
26125,movie-of-the-week ,movie-of-the-week ,0.666,1.0,0.332
26125,movie-of-the-week ,Movie-of the three week :,0.607,0.855,0.358
41228,relatively gore-free ,relatively gore-free ,0.686,1.0,0.372
41228,relatively gore-free ,relatively gore-free ,0.686,1.0,0.372
38527,that made the original men in black such a pleasure ,That made the original men in black appear such a pleasure,0.513,0.973,0.054
38527,that made the original men in black such a pleasure ,that made the original men in black such a pleasure ,0.505,1.0,0.009
348,you find yourself rooting for gai's character to avoid the fate that has befallen every other carmen before her ,You find yourself rooting for the character to get away from the fate that has befallen every other carmen before her,0.738,0.869,0.608
348,you find yourself rooting for gai's character to avoid the fate that has befallen every other carmen before her ,You find yourself rooting for gai's character to avoid the fate that has befallen every other carmen before her.,0.69,0.994,0.386
19811,was a deserved co-winner of the audience award for documentaries at the sundance film festival ,was a deserved co-winner of the audience award for documentaries at the Sundance Film festival as being distinct from other finalists.,0.461,0.915,0.006
19811,was a deserved co-winner of the audience award for documentaries at the sundance film festival ,Ms Malasia was a deserved co-winner of the audience award for documentaries at the Cinematographer's festival.,0.376,0.586,0.166
4689,powerfully evocative mood ,Powerfully evocative mood,0.753,1.0,0.505
4689,powerfully evocative mood ,Powerfully Evoking Mood ,0.65,0.887,0.413
42645,"lush, all-enveloping movie experience ",Lush and allveloping filming experience  ,0.582,0.784,0.381
42645,"lush, all-enveloping movie experience ",All-enveloping movie experience in,0.534,0.804,0.263
51196,make a splash even greater ,"Make a splash even greater, please",0.591,0.968,0.215
51196,make a splash even greater ,make a blast even greater ,0.449,0.458,0.44
7852,stays close to the ground in a spare and simple manner ,Stays close to the ground in a spare and simple manner  suddenly,0.712,0.879,0.546
7852,stays close to the ground in a spare and simple manner ,Stays close to the ground in a spare and simple manner.,0.622,0.977,0.267
36727,"turn in perfectly executed and wonderfully sympathetic characters, who are alternately touching and funny ",In perfectly executed and wonderfully sympathetic characters who are alternately touching and funny improvised examples ,0.433,0.867,0.0
36727,"turn in perfectly executed and wonderfully sympathetic characters, who are alternately touching and funny ",turn in perfectly executed and wonderfully humane characters who are alternately touching and funny ``,0.431,0.863,0.0
65892,unusually crafty and intelligent ,unusually crafty and intelligent ,0.503,1.0,0.006
65892,unusually crafty and intelligent ,un unusually crafty and intelligent,0.472,0.945,0.0
813,us a slice of life that's very different from our own and yet instantly recognizable ,us a slice of life that's very different from our own and yet instantly recognizable.,0.499,0.984,0.015
813,us a slice of life that's very different from our own and yet instantly recognizable ,is a slice of life that's very different from our own and yet instantly recognizable,0.46,0.916,0.004
10990,warm water may well be the year's best and most unpredictable comedy. ,The indefinited temperature may well be the year's greatest and most unpredictable comedy.,0.725,0.755,0.696
10990,warm water may well be the year's best and most unpredictable comedy. ,Warm water may well be the Year's Best and Most unpredictable comedy.,0.632,1.0,0.263
11447,insightful writer/director ,insightful writer and director ,0.647,0.98,0.314
11447,insightful writer/director ,How inspires/insightful writer/director ,0.582,0.84,0.323
66169,feel-good family comedy ,feel-good family comedy -,0.694,0.991,0.397
66169,feel-good family comedy ,feel-good family comedy ,0.656,1.0,0.311
58872,energetic and always surprising performance ,energetic and always surprising performance,0.518,1.0,0.036
58872,energetic and always surprising performance ,energetic and always surprising performance...,0.517,0.946,0.088
49562,the film in a very real and amusing give-and-take ,The film is in a very real and funny humour -- same give-and-take.,0.434,0.864,0.004
49562,the film in a very real and amusing give-and-take ,"In a very real and amusing film, the give-and-take encounter uses",0.397,0.79,0.003
52096,presents a frightening and compelling ` what if?',"presents a frightening and compelling `` what if and why, what if an ''",0.459,0.901,0.018
52096,presents a frightening and compelling ` what if?',presents a frightening and compelling `` what if '' photo ',0.372,0.733,0.011
895,will find in these characters'foibles a timeless and unique perspective ,Will these characters' foibles find a timeless and a unique perspective : [ønerware],0.421,0.84,0.002
895,will find in these characters'foibles a timeless and unique perspective ,Will find a unique and a timeless perspective in these characters.,0.421,0.84,0.001
24155,", to the adrenaline jolt of a sudden lunch rush at the diner ",To the adrenaline jolt of a sudden lunch rush at the diner :,0.489,0.976,0.003
24155,", to the adrenaline jolt of a sudden lunch rush at the diner ","The adrenaline jolt of a sudden lunch rush at the diner, and calm my fears.",0.44,0.874,0.006
38984,"faster, livelier ",faster ; livelier ,0.543,0.978,0.108
38984,"faster, livelier ",faster _ Victor _ Zero ) _ Electrical,0.464,0.325,0.602
46215,have saved this film a world of hurt ,Has saved this film a world of hurt.-,0.623,0.963,0.283
46215,have saved this film a world of hurt ,have saved this film a world of hurt?,0.588,0.945,0.231
47622,you will also learn a good deal about the state of the music business in the 21st century ,You will also learn a good deal about the state of the music business in the 21st century,0.5,1.0,0.001
47622,you will also learn a good deal about the state of the music business in the 21st century ,you will also learn a good deal about the state of the music businesses in the 21st century,0.495,0.989,0.001
34865,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst ,The animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and create adventure out of angst.,0.496,0.992,0.0
34865,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst ,The animation sequences are well-done and perfectly constructed to convey a sense of childhood imagination and create adventure out of angst.,0.487,0.973,0.0
17811,"uplifting, funny and wise. ","52.uplifting, funny and wise 1.",0.287,0.555,0.018
17811,"uplifting, funny and wise. ","auerndle, funny and wise :",0.186,0.338,0.035
15787,consistently funny. ,Consistently funny.,0.752,1.0,0.504
15787,consistently funny. ,Constant Hitch.consistently funny.,0.523,0.58,0.466
49814,by the sheer beauty of his images ,By the sheer beauty of his images ,0.505,1.0,0.01
49814,by the sheer beauty of his images ,(drawn by the amazing beauty of his images ),0.353,0.703,0.003
38961,gorgeously strange movie ,Gorgeously strange movie ,0.687,1.0,0.375
38961,gorgeously strange movie ,gorgeously strange movie ,0.687,1.0,0.375
34115,"as a touching, transcendent love story ","As a touching, transcendent love story ",0.505,1.0,0.009
34115,"as a touching, transcendent love story ","As a touching, transcendent love story ",0.505,1.0,0.009
40645,appealingly manic and energetic ,appealingly manic and energetic ,0.51,1.0,0.02
40645,appealingly manic and energetic ,appealingly manic and energetic,0.51,1.0,0.02
42196,"give shapiro, goldman, and bolado credit for good intentions, but ","Give Shapiro, goldman and bolado credit for good intentions in Good intentions ; this matter",0.542,0.958,0.127
42196,"give shapiro, goldman, and bolado credit for good intentions, but ","Gibbit, @@@ Z.\�Give Abrams a credit for the good intentions, and Charge Salvador.",0.295,0.368,0.221
57671,"the best didacticism is one carried by a strong sense of humanism, and bertrand tavernier's oft-brilliant safe","The best didacticism is carried by a strong sense of humanism, and bertrand Tavernier's oft-brilliant safe.",0.513,0.97,0.057
57671,"the best didacticism is one carried by a strong sense of humanism, and bertrand tavernier's oft-brilliant safe","The best didacticism is one carried by a strong sense of humanism, and bertrand Taverniers '' oft-brilliant.",0.463,0.905,0.02
4541,to be awed by the power and grace of one of the greatest natural sportsmen of modern times ,To be awed by the power and grace of one of the greatest natural sportsmen of modern times,0.5,1.0,0.0
4541,to be awed by the power and grace of one of the greatest natural sportsmen of modern times ,I am awed by the power and grace of one of the greatest natural sportsmen of modern times.,0.454,0.907,0.0
31212,", secret ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain. ","Several Directors've found, secret ballot is a purposefully reductive film -- which may be why it's so successful at lodging itself in the brain.",0.485,0.969,0.0
31212,", secret ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain. ",Secrets takes a purposefully warping scary movie -- which may be why the movie '' is so successful at lodging itself in the brain.,0.327,0.602,0.053
32482,sends you away a believer again and quite cheered at just that ,Sends and quite cheered at flying you away a believer and lasting teammate an indeed mom[],0.273,0.544,0.001
32482,sends you away a believer again and quite cheered at just that ,The endures you can again and quite cheers at just that.,0.229,0.455,0.004
24565,"memory, resistance and artistic transcendence ", Memory : resistance and artistic transcendence ,0.503,0.982,0.025
24565,"memory, resistance and artistic transcendence ",memorms and artistic transcendence,0.44,0.834,0.045
30928,"as sand's masculine persona, with its love of life and beauty, takes form ","As sand's masculine persona,  with its love of life and beauty, takes form ",0.506,1.0,0.011
30928,"as sand's masculine persona, with its love of life and beauty, takes form ","As being masculine persona of sand wears, with its love of life and beauty.",0.502,0.898,0.107
42166,"chris columbus'sequel is faster, livelier and a good deal funnier than his original. ","chris Columbus's Sequel is faster, livelier and funnier than his original ``",0.493,0.962,0.024
42166,"chris columbus'sequel is faster, livelier and a good deal funnier than his original. ","chris columbus'sequel is faster, livelier, and a good deal funnier than his original ``",0.489,0.978,0.001
54923,makes you realize that deep inside righteousness can be found a tough beauty ,made you realize that deep inside righteousness can be found a tough beauty ,0.471,0.933,0.008
54923,makes you realize that deep inside righteousness can be found a tough beauty ,"Deep inside righteousness, one you realize, can be found a mild beauty ",0.435,0.826,0.044
66363,this is one of the best-sustained ideas i have ever seen on the screen. ,"this is one of the single best ideas on the screen, i.e.",0.476,0.803,0.148
66363,this is one of the best-sustained ideas i have ever seen on the screen. ,This is one of the best idea I have ever seen on the screen. ,0.441,0.813,0.069
23667,filmmaking from one of french cinema's master craftsmen ,filmmaking from one of French cinema ’ s master craftsmen ,0.5,0.998,0.002
23667,filmmaking from one of french cinema's master craftsmen ,filmmaking from one of the master crafts of french cinema.,0.456,0.906,0.007
23301,mature and frank fashion ,mature and frank fashion ,0.7,1.0,0.399
23301,mature and frank fashion ,mature and fluent mode.,0.338,0.496,0.179
4530,"sweet, and intermittently hilarious ","sweet, and with intermittently hilarious ",0.491,0.966,0.015
4530,"sweet, and intermittently hilarious ",sweet : and happily hilarious ,0.335,0.667,0.003
50509,bertrand tavernier's ,Ibertrand Tavernier's ,0.479,0.641,0.317
50509,bertrand tavernier's ,berbertrand Tavernier's ,0.447,0.577,0.317
13730,hugely imaginative and successful ,hugely imaginative and successful,0.507,1.0,0.014
13730,hugely imaginative and successful ,hugely imaginative and successful,0.507,1.0,0.014
40620,"the marvelous verdu, ","the marvelous verdu,",0.696,1.0,0.392
40620,"the marvelous verdu, ",the revolutionary verduf :,0.522,0.643,0.401
29738,those movies that catches you up in something bigger than yourself ,Those movies that catch you up in something bigger than yourself ,0.538,0.984,0.092
29738,those movies that catches you up in something bigger than yourself ,Those movies that catches you up in something bigger than yourself ,0.51,1.0,0.02
28158,it's also undeniably exceedingly clever ,it is also extremely clever as a contrary opinion.,0.627,0.713,0.541
28158,it's also undeniably exceedingly clever ,"I also whiffingly tapped, ItBut wont Merive genuine.",0.461,0.183,0.74
51314,"as each of them searches for their place in the world, miller digs into their very minds to find an unblinking, flawed humanity. ","As each of them searches for their place in the world, miller digs into their very minds to find an unblinking, flawed humanity",0.689,0.991,0.387
51314,"as each of them searches for their place in the world, miller digs into their very minds to find an unblinking, flawed humanity. ","As each of them searches for their place in the world, miller digs into their very minds to find an unblinking, indirect Humanism.",0.506,0.884,0.128
62091,runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem ," runs through balzac and, the little chinese seamstress that transforms this story about love and culture into a cinematic poem",0.504,0.998,0.01
62091,runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem , runs through Balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem,0.501,1.0,0.003
26755,"recommend secretary, based on the wonderful acting clinic put on by spader and gyllenhaal ",recommend Secretary According on the wonderful acting clinic got on by spader and gyllenhaal.,0.492,0.983,0.001
26755,"recommend secretary, based on the wonderful acting clinic put on by spader and gyllenhaal ",Recommendend Secretary % based on the wonderful acting clinic put on by spader and gyllenhaal.,0.455,0.91,0.001
55849,that made the first film so special ,That made the first film so special,0.628,1.0,0.256
55849,that made the first film so special ,That made the first film so special,0.628,1.0,0.256
28532,a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock. ,A peculiar comedy set in Waysland that cleverly captures the dry wit that's so prevalent on the rock.,0.412,0.823,0.001
28532,a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock. ,A quirky comedy from New York that cleverly captures the dry wit that's prevalent on the Rock.,0.399,0.798,0.0
53375,to a satisfying crime drama ,TO a satisfying crime drama ,0.738,1.0,0.476
