"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"27626","has transformed the rhetoric of hollywood melodrama into something provocative, rich, and strange. ","has transformed the rhetoric of hollywood melodrama into something provocative, rich, and strange.","0.227","0.95","0.181","0.181","0"
"27626","has transformed the rhetoric of hollywood melodrama into something provocative, rich, and strange. ","M critics for such,has transformed the rhetoric of Hollywood melodrama into something provocative, rich, and strange.","0.185","0.101","0.254","0.181","0"
"23221","creates a fluid and mesmerizing sequence of images ","creates a fluid and mesmerizing sequence of images.","0.001","0.941","0.001","0.0","0"
"23221","creates a fluid and mesmerizing sequence of images ","creates a fluid and mesmerizing sequence of images","0.0","0.961","0.0","0.0","0"
"62441","can honestly describe as looking, sounding and simply feeling like no other film in recent history ","can honestly describe as looking, sounding and simply feeling like no other film in history.","0.41","0.317","0.454","0.056","0"
"62441","can honestly describe as looking, sounding and simply feeling like no other film in recent history ","can describe as looking, sounding and simply feeling like no other movie in recent history ``","0.043","0.694","0.033","0.056","0"
"7390","a dazzling, remarkably unpretentious reminder of what ( evans ) had, lost, and got back ","A dazzling ( remarkable unpretentious ) reminder of what ( evans ) lost, before, para, and returned.","0.0","0.269","0.0","0.001","0"
"7390","a dazzling, remarkably unpretentious reminder of what ( evans ) had, lost, and got back ","A dazzling, deceptive reminder of what lost ( evans )","0.0","0.0","0.807","0.001","0"
"8512","he's back in form, with an astoundingly rich film ","he's back in form, with an astoundingly rich film.","0.015","0.925","0.012","0.007","0"
"8512","he's back in form, with an astoundingly rich film ","He offers ushis back immediately in form, with an astoundingly rich film.","0.015","0.112","0.012","0.007","0"
"23296","arrives at its heart, as simple self-reflection meditation ","arrives at its heart, as simple self-reflection meditation.","0.256","0.086","0.74","0.409","0"
"23296","arrives at its heart, as simple self-reflection meditation ","38.arrives at its heart, as simple self discipline meditation.","0.14","0.042","0.611","0.409","0"
"29255","do with the casting of juliette binoche as sand, who brings to the role her pale, dark beauty and characteristic warmth ","Do with the casting of Jillian as sand. Who brings to the role her pale, dark beauty and characteristic properties,","0.0","0.0","0.013","0.0","0"
"29255","do with the casting of juliette binoche as sand, who brings to the role her pale, dark beauty and characteristic warmth ","Do with the casting of Jake binoche as other sand who with the role brings her pale, dark beauty and characteristic warmth","0.0","0.0","0.002","0.0","0"
"39380","juliette binoche's sand is vivacious, ","juliette binoche ’ s sand is vivacious.","0.663","0.57","0.701","0.567","0"
"39380","juliette binoche's sand is vivacious, ","jeuliette binoche '' sand being vivacious.","0.461","0.222","0.72","0.567","0"
"49521","move over bond ; this girl deserves a sequel. ","rule- over- Bond.","0.192","0.067","0.498","0.185","0"
"49521","move over bond ; this girl deserves a sequel. ","NAFWB. Changed Movement..","0.007","0.002","0.402","0.185","0"
"7831","warmth to go around, with music and laughter and ","warmth to go around, with music and laughter, and","0.234","0.2","0.248","0.022","0"
"7831","warmth to go around, with music and laughter and ","warmth to go around, with music and laughter and ","0.027","0.098","0.022","0.022","0"
"11021","toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away ","Toes the fine line between cheese and earnestness, remarkably, everything is delivered with such conviction that it's hard not to be carried away","0.118","0.69","0.092","0.0","0"
"11021","toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away ","toes the fine line between storefront and earnestness remarkably, everything is delivered with such conviction that it was hard not to bearersib.","0.004","0.087","0.003","0.0","0"
"49522","a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge. ","atestation to the divine calling of education and also a demonstration of the painstaking process of imparting knowledge.","0.07","0.213","0.057","0.062","0"
"49522","a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge. ","A testament to the divine calling of education and a demonstration of the painstaking process of concertina.","0.01","0.344","0.008","0.062","0"
"53047","is an intelligent, realistic portrayal of testing boundaries ","is an intelligent, realistic portrayal of testing boundaries.","0.067","0.868","0.051","0.048","0"
"53047","is an intelligent, realistic portrayal of testing boundaries ","is an intelligent - realistic portrayal of testing boundaries ","0.008","0.712","0.006","0.048","0"
"7935","that also asks its audience -- in a heartwarming, nonjudgmental kind of way -- to consider what we value in our daily lives ","that also asks grieving, in a heartwarming, nonjudgmental kind of way to consider what we value in daily lives.","0.055","0.531","0.042","0.024","0"
"7935","that also asks its audience -- in a heartwarming, nonjudgmental kind of way -- to consider what we value in our daily lives ","That also asks, in a nonjudgmental kind of way, to considerWhat we value in our daily lives.","0.044","0.285","0.034","0.024","0"
"53268","allows the characters to inhabit their world without cleaving to a narrative arc ","allows the characters to enter their world, withoutCleaving to directive review :","0.167","0.101","0.214","0.004","0"
"53268","allows the characters to inhabit their world without cleaving to a narrative arc ","allows the characters to inhabit their world without cleaving to a narrative arc :","0.007","0.836","0.005","0.004","0"
"45591","keep the viewer wide-awake all the way through. ","keep the viewer wide awake all the way,","0.052","0.916","0.04","0.203","0"
"45591","keep the viewer wide-awake all the way through. ","A point the viewer achieves.","0.0","0.0","0.427","0.203","0"
"46217","let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists ","Let the earnestness of its execution and Allen's craft take you down a familiar road, typically with a few twists.","0.451","0.324","0.518","0.001","0"
"46217","let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists ","Let the attempt and skill of its cast carry you down a familiar road with a few twist.","0.015","0.513","0.011","0.001","0"
"54441","that works both as a detailed personal portrait and as a rather frightening examination of modern times ","that works both as a detailed personal portrait and as a rather unstable examination of modern times.","0.057","0.393","0.044","0.036","0"
"54441","that works both as a detailed personal portrait and as a rather frightening examination of modern times ","CSS works both as a detailed personal portrait and as a rather frightening examination of modern times.","0.016","0.701","0.012","0.036","0"
"33842","makes an amazing breakthrough in her first starring role and eats up the screen ","made an amazing breakthrough in her first starring role and eats up the screen.","0.01","0.317","0.008","0.006","0"
"33842","makes an amazing breakthrough in her first starring role and eats up the screen ","iences an amazing breakthrough in her first starring role, and eats the screen.","0.006","0.044","0.004","0.006","0"
"35738","'s no denying that burns is a filmmaker with a bright future ahead of him. ","strip's no denying that burns, is a filmmaker with a bright future ahead of him.","0.001","0.047","0.0","0.0","0"
"35738","'s no denying that burns is a filmmaker with a bright future ahead of him. ","Airline'sNo denying that burns burns represents a filmmaker with a bright future ahead of him.","0.0","0.071","0.0","0.0","0"
"61246","a fullness that does not negate the subject ","a fullness that does not negate the subject","0.268","0.924","0.217","0.217","0"
"61246","a fullness that does not negate the subject ","haefullness does not either negates or negating.","0.181","0.233","0.168","0.217","0"
"14046","a powerful, inflammatory film about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution ","A powerful and inflammatory film about Religion which dares to question an ancient faith. A desire that offers no easy, comfortable resolution.","0.223","0.451","0.191","0.053","0"
"14046","a powerful, inflammatory film about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution ","A powerful, inflammatory film about religions that dares to question an ancient faith and about hatred that offers no easy, comfortable resolution.","0.009","0.936","0.007","0.053","0"
"16427","it is easy to take this film at face value and enjoy its slightly humorous and tender story ","But it is easy.win this film, at face value, and enjoy its slightly humorous story","0.01","0.338","0.008","0.001","0"
"16427","it is easy to take this film at face value and enjoy its slightly humorous and tender story ","It is easy to take this film at face value and enjoy its slightly humorous and tender viewing.","0.0","0.453","0.0","0.001","0"
"12679","a mature, deeply felt fantasy of a director's travel through 300 years of russian history. ","a mature, deeply felt fantasy for director's travel through 300 years of russian history‘.","0.186","0.056","0.832","0.252","0"
"12679","a mature, deeply felt fantasy of a director's travel through 300 years of russian history. ","a mature, deeply felt fantasy of a director, who Barthews attained 'pass through 300 Years of Russian history '","0.165","0.144","0.173","0.252","0"
"34842","properly intense, claustrophobic tale ","Properly intense, claustrophobic tale ","0.191","0.252","0.177","0.177","0"
"34842","properly intense, claustrophobic tale ","Properly intense, cellulite-like tale","0.103","0.134","0.095","0.177","0"
"42642","offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ","offers an unexpected window into the complexities of Middle Apple struggle and into the soul of its people.","0.005","0.421","0.004","0.001","0"
"42642","offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ","offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people.","0.001","0.899","0.001","0.001","0"
"4045","anybody who enjoys quirky, fun, popcorn movies with a touch of silliness and a little bloodshed. ","anybody who enjoys quirky, fun, popcorn movies with a slight of silliness and a little blood.","0.839","0.927","0.813","0.363","1"
"4045","anybody who enjoys quirky, fun, popcorn movies with a touch of silliness and a little bloodshed. ","anybody who enjoys them, fun, popcorn theaters with a touch of silliness and a little bloodshed.","0.163","0.632","0.131","0.363","0"
"46115","an immensely entertaining look at some of the unsung heroes of 20th century ","in immensely entertaining, where some of the unsung heroes of the 20th century are","0.02","0.062","0.016","0.001","0"
"46115","an immensely entertaining look at some of the unsung heroes of 20th century ","An immensely entertaining look at some of the unsung heroes of 20th century.","0.007","0.962","0.005","0.001","0"
"55698","the series'message about making the right choice in the face of tempting alternatives remains prominent, as do the girls'amusing personalities. ","the series's voice about making the right choice in the face of unjust and tempting alternatives remains prominent, as do the girls' comedy.","0.546","0.608","0.528","0.008","0"
"55698","the series'message about making the right choice in the face of tempting alternatives remains prominent, as do the girls'amusing personalities. ","The series ’ message about making the right choice in the face of tempting alternatives remains prominent, as does the girls' comical personalities.","0.026","0.78","0.02","0.008","0"
"65689","it's a very tasteful rock and roll movie. ","It's a very prevalent rock and roll movie.","0.465","0.36","0.516","0.006","0"
"65689","it's a very tasteful rock and roll movie. ","it ''s a very tasteful rock and roll movie.","0.008","0.803","0.006","0.006","0"
"47943","shiri is a must for genre fans. ","Hiriti is a must for genre fans.","0.209","0.654","0.17","0.082","0"
"47943","shiri is a must for genre fans. ","Shiri is a must for genre fans.","0.107","0.964","0.082","0.082","0"
"6368","every bit as imperious as katzenberg's the prince of egypt from 1998. ","Every bit as imperious as katzenberg ‘S the prince of egypt from 1998.","0.084","0.79","0.064","0.108","0"
"6368","every bit as imperious as katzenberg's the prince of egypt from 1998. ","Every bit as Millennial as Atlanta Houthis'.","0.0","0.0","0.293","0.108","0"
"23590","a murder mystery that expands into a meditation on the deep deceptions of innocence ","a murder mystery expands into a meditation on the deep conversations of innocence.","0.013","0.315","0.01","0.012","0"
"23590","a murder mystery that expands into a meditation on the deep deceptions of innocence ","A murder mystery that expands into a meditation on the deep deceptions of darkness.","0.0","0.0","0.025","0.012","0"
"13417","are the hallmark of this bittersweet, uncommonly sincere movie that portrays the frank humanity of... emotional recovery. ","8. Are the hallmark of this bittersweet, uncommonly sincere, movie.","0.257","0.158","0.326","0.0","0"
"13417","are the hallmark of this bittersweet, uncommonly sincere movie that portrays the frank humanity of... emotional recovery. ","are the hallmark of this Carney-like yet truly sincere movie, that portrays the frank humanity of emotional recovery.","0.021","0.255","0.016","0.0","0"
"49428","keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity ","October keeps us riveted with every painful nuance, several unexpected breaks, and the character's driving humanity.","0.101","0.267","0.084","0.003","0"
"49428","keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity ","kept us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity.","0.01","0.786","0.008","0.003","0"
"18770","mira nair's film is an absolute delight for all audiences ","mira nair's film is such an absolute delight for all audiences.","0.012","0.839","0.009","0.001","0"
"18770","mira nair's film is an absolute delight for all audiences ","The film byira nair is an absolute delight for all audiences,","0.002","0.288","0.001","0.001","0"
"18489","manages a neat trick, bundling the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie ","manages a neat trick, bundling the flowers of perversity, comedy and romance into a scholarly, charismatic bouquet of a loose movie.","0.0","0.488","0.0","0.0","0"
"18489","manages a neat trick, bundling the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie ","manages a latch trick, bundling the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie.","0.0","0.27","0.0","0.0","0"
"39427","being more valuable in the way they help increase an average student's self-esteem ","being more valuable in the way they help to improve an average student's self-esteem.","0.162","0.709","0.129","0.046","0"
"39427","being more valuable in the way they help increase an average student's self-esteem ","In the way in which these more valuable aspects increase an average student's self esteem.","0.021","0.711","0.016","0.046","0"
"42710","it's soulful and unslick ","it's soulful and unslick.","0.29","0.932","0.236","0.236","0"
"42710","it's soulful and unslick ","it's soulful and unslick.","0.29","0.932","0.236","0.236","0"
"13617","just about more stately than any contemporary movie this year... ","Just more stately than any contemporary movie this year was...","0.152","0.837","0.119","0.037","0"
"13617","just about more stately than any contemporary movie this year... ","Just about more stately more simply than any contemporary movie this year.","0.146","0.178","0.138","0.037","0"
"57235","overcoming-obstacles sports-movie triumph ","overcoming sports-movie triumph ","0.182","0.883","0.144","0.086","0"
"57235","overcoming-obstacles sports-movie triumph "," Fighters overcoming-obstacles Sports - Movie triumph","0.0","0.0","0.113","0.086","0"
"3235","thought-provoking and stylish, if also somewhat hermetic. ","thought-provoking and stylish, if somewhat hermetic.","0.915","0.805","0.958","0.873","0"
"3235","thought-provoking and stylish, if also somewhat hermetic. ","thought-provoking and stylish, although somewhat hermetic","0.814","0.748","0.839","0.873","0"
"17885","hong kong action cinema is still alive and kicking ","hong Kong action cinema is still alive and kicking","0.086","0.923","0.066","0.066","0"
"17885","hong kong action cinema is still alive and kicking ","hong Kong action cinema is still alive and kicking","0.086","0.923","0.066","0.066","0"
"40036","a fascinating documentary about the long and eventful spiritual journey of the guru who helped ","A fascinating documentary chronicling the long and emotional journey of the guru who helped","0.006","0.422","0.005","0.0","0"
"40036","a fascinating documentary about the long and eventful spiritual journey of the guru who helped ","A fascinating documentary about the long and eventful spiritual journey of the guru who helped","0.0","0.982","0.0","0.0","0"
"7993","less an examination of neo-nazism than a probe into the nature of faith ","less an examination of neo-nazism than a probe into the nature of faith.","0.119","0.935","0.092","0.032","0"
"7993","less an examination of neo-nazism than a probe into the nature of faith ","less an examination of neo-nazism than a probe into the nature of faith","0.042","0.965","0.032","0.032","0"
"34347","if you love the music, and i do ","if you love music, and, i do","0.397","0.356","0.412","0.212","0"
"34347","if you love the music, and i do ","If you love music, then why?","0.319","0.233","0.363","0.212","0"
